Generacion,Aptitud Mejor Individuo,margin,range,teammateG,wallG,goalieG,forceLimit,side,forward_angle,goalie_x,offensive_pos1.x,offensive_pos1.y,offensive_pos2.x,offensive_pos2.y,tiempo,tiempo acumulado,uso de CPU
1,1070.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,3.1943141608195913,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,3.872625,3,0.00
2,1072.0,0.9401699782173302,0.6052486637654346,9.049909998799711,0.6056631846893301,3.08190878440896,9.702218358645395,-0.9158693099334283,2.131467554588878,-0.7170190115790005,-0.2108183156810699,0.10828382941482761,0.0662454933833323,0.6058117395893934,1.353541,4,0.65
3,1072.0,0.9401699782173302,0.6052486637654346,9.049909998799711,0.6056631846893301,3.08190878440896,9.702218358645395,-0.9158693099334283,2.131467554588878,-0.7170190115790005,-0.2108183156810699,0.10828382941482761,0.0662454933833323,0.6058117395893934,0.11425,4,0.65
4,1072.0,0.9401699782173302,0.6052486637654346,9.049909998799711,0.6056631846893301,3.08190878440896,9.702218358645395,-0.9158693099334283,2.131467554588878,-0.7170190115790005,-0.2108183156810699,0.10828382941482761,0.0662454933833323,0.6058117395893934,0.91675,4,0.70
5,1073.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,3.7526585240189334,-0.3131065990571835,3.539552781600558,0.297957608701902,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.112959,4,0.66
6,1072.0,0.9401699782173302,0.6052486637654346,9.049909998799711,0.6056631846893301,3.08190878440896,9.702218358645395,-0.9158693099334283,2.131467554588878,-0.7170190115790005,-0.2108183156810699,0.10828382941482761,0.0662454933833323,0.6058117395893934,0.133584,4,0.67
7,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.298042,5,0.68
8,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.084958,5,0.64
9,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.923959,5,0.63
10,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.1745,5,0.62
11,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.121708,5,0.66
12,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.082,5,0.67
13,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.150375,5,0.67
14,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,-0.7170190115790005,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.939708,5,0.68
15,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,-0.7170190115790005,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.082834,5,0.67
16,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,-0.7170190115790005,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.623541,5,0.64
17,1075.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.01652494994523024,8.933560013453265,-0.3131065990571835,2.131467554588878,0.4875010786295464,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.087208,5,0.66
18,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.09325,5,0.69
19,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.126667,5,0.66
20,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.102792,5,0.66
21,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.247584,6,0.70
22,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.055625,6,0.66
23,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.905084,6,0.69
24,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.068708,6,0.69
25,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.058459,6,0.66
26,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.072958,6,0.66
27,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.059125,6,0.65
28,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.943292,6,0.66
29,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.088333,6,0.66
30,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.268833,7,0.68
31,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.064042,7,0.65
32,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.065083,7,0.70
33,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.054292,7,0.68
34,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.06075,7,0.66
35,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.891083,7,0.68
36,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.111,7,0.65
37,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.925625,7,0.65
38,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.180625,7,0.57
39,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.082833,7,0.53
40,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.056084,7,0.68
41,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.085833,7,0.69
42,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.941458,7,0.66
43,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.068292,7,0.66
44,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.864334,7,0.64
45,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.054917,7,0.67
46,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.054375,7,0.65
47,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.054833,7,0.67
48,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.061459,7,0.69
49,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.235875,8,0.69
50,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.057125,8,0.68
51,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.962291,8,0.67
52,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.06875,8,0.67
53,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.053375,8,0.64
54,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.0575,8,0.62
55,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.054292,8,0.68
56,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.936333,8,0.66
57,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.054333,8,0.67
58,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.348958,9,0.67
59,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.061458,9,0.66
60,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.072583,9,0.68
61,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.0995,9,0.69
62,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.059125,9,0.65
63,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.229375,10,0.70
64,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.057875,10,0.66
65,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.864625,10,0.68
66,1076.0,0.973551319193252,0.01551824586059225,7.176159742388143,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.6904876407744893,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.075125,10,0.68
67,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.069708,10,0.66
68,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.0705,10,0.65
69,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.074,10,0.71
70,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,1.141875,11,0.68
71,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.05275,11,0.68
72,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.915,11,0.66
73,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.41904377703625184,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.105458,11,0.65
74,1076.0,0.973551319193252,0.01551824586059225,9.758035982956349,1.6987324879594456,0.5246692656636232,7.585014775730322,-0.3131065990571835,2.131467554588878,0.3925286368739125,-0.5654034124196692,-0.03837454746280944,0.366407466720315,-0.43870435618727655,0.072917,11,0.68
